Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
2.15e+22,674.518,16.6658,43.6054,40.4732,1
2.15e+22,3207.26,44.1382,45.1119,72.6641,1
2.16e+22,3044.26,42.4467,45.58600000000001,71.7197,1
2.17e+22,2978.41,38.0263,44.8316,78.3249,1
2.15e+22,3742.61,44.0286,46.017,85.00399999999998,1
2.18e+22,3162.78,36.3249,48.3224,87.0691,1
2.19e+22,3707.14,50.0113,47.6639,74.126,1
2.19e+22,3686.13,46.4991,46.8923,79.2732,1
2.2e+22,3556.78,40.73,47.5743,87.3258,1
2.15e+22,3645.29,47.1738,48.0348,77.2736,1
2.16e+22,3346.85,38.955999999999996,49.3152,85.9135,1
2.15e+22,3153.98,51.9378,51.0184,60.7261,1
2.08e+22,2598.55,41.2319,52.5921,63.0228,1
2.08e+22,2806.51,41.2414,55.0607,68.0509,0
2.06e+22,2466.62,41.2003,51.5134,59.869,0
2.08e+22,475.255,10.6124,50.8826,44.783,0
2.08e+22,472.035,7.710389999999999,50.3482,61.2207,0
2.09e+22,730.721,13.8108,50.5887,52.9094,0
2.06e+22,121.928,6.624060000000001,51.1225,18.4069,0
2.05e+22,83.0113,7.686939999999999,49.4003,10.799,0
2.06e+22,357.1930000000001,13.6869,48.8257,26.0974,0
2.06e+22,548.9540000000002,20.6214,45.5784,26.6206,0
2.04e+22,314.255,12.232999999999999,46.6198,25.6891,0
2.05e+22,464.338,19.5976,42.8706,23.6936,0
2.07e+22,684.172,20.9156,41.6846,32.7111,0
2.12e+22,828.182,24.8692,41.6165,33.3015,0
2.17e+22,1897.11,30.0707,43.3159,63.0883,0
2.21e+22,2065.61,25.4158,42.8765,81.2728,0
2.28e+22,2295.87,29.506999999999998,45.7062,77.8075,0
2.39e+22,2425.02,21.3339,42.3717,113.67,0
2.47e+22,2049.98,22.9721,41.5643,89.2378,0
2.57e+22,2889.09,22.1191,40.6708,130.615,0
2.67e+22,2859.7,22.5931,40.7799,126.574,0
2.78e+22,3526.23,21.7143,40.8772,162.392,0
2.88e+22,3759.22,24.2916,41.0286,154.754,0
2.95e+22,3638.62,24.9072,40.5471,146.08700000000005,0
2.96e+22,2868.32,21.4324,41.6375,133.83100000000002,0
2.93e+22,2075.21,20.8688,42.0834,99.4406,0
